officialId,canonicalId,subject,grade,gradeName,domainCode,domain,strand,clusterCode,parentId,sourceItem,statement,isLeaf,instructionalStatus,active
K.W.1,CCSS.ELA-LITERACY.W.K.1,ela,K,Kindergarten,W,Writing,Writing,,,1,"Use a combination of drawing, dictating, and writing to compose opinion pieces in which they tell a reader the topic or the name of the book they are writing about and state an opinion or preference about the topic or book (e.g., My favorite book is...).",True,assessable,True
K.W.10,CCSS.ELA-LITERACY.W.K.10,ela,K,Kindergarten,W,Writing,Writing,,,10,(Begins in grade 3),True,notApplicableAtGrade,False
K.W.2,CCSS.ELA-LITERACY.W.K.2,ela,K,Kindergarten,W,Writing,Writing,,,2,"Use a combination of drawing, dictating, and writing to compose informative/explanatory texts in which they name what they are writing about and supply some information about the topic.",True,assessable,True
K.W.3,CCSS.ELA-LITERACY.W.K.3,ela,K,Kindergarten,W,Writing,Writing,,,3,"Use a combination of drawing, dictating, and writing to narrate a single event or several loosely linked events, tell about the events in the order in which they occurred, and provide a reaction to what happened.",True,assessable,True
K.W.4,CCSS.ELA-LITERACY.W.K.4,ela,K,Kindergarten,W,Writing,Writing,,,4,(Begins in grade 3),True,notApplicableAtGrade,False
K.W.5,CCSS.ELA-LITERACY.W.K.5,ela,K,Kindergarten,W,Writing,Writing,,,5,"With guidance and support from adults, respond to questions and suggestions from peers and add details to strengthen writing as needed.",True,assessable,True
K.W.6,CCSS.ELA-LITERACY.W.K.6,ela,K,Kindergarten,W,Writing,Writing,,,6,"With guidance and support from adults, explore a variety of digital tools to produce and publish writing, including in collaboration with peers.",True,assessable,True
K.W.7,CCSS.ELA-LITERACY.W.K.7,ela,K,Kindergarten,W,Writing,Writing,,,7,"Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them).",True,assessable,True
K.W.8,CCSS.ELA-LITERACY.W.K.8,ela,K,Kindergarten,W,Writing,Writing,,,8,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question.",True,assessable,True
K.W.9,CCSS.ELA-LITERACY.W.K.9,ela,K,Kindergarten,W,Writing,Writing,,,9,(Begins in grade 4),True,notApplicableAtGrade,False
K.CC.A.1,CCSS.MATH.CONTENT.K.CC.A.1,math,K,Kindergarten,CC,Counting & Cardinality,,K.CC.A,,A1,Count to 100 by ones and by tens.,True,assessable,True
K.CC.A.2,CCSS.MATH.CONTENT.K.CC.A.2,math,K,Kindergarten,CC,Counting & Cardinality,,K.CC.A,,A2,Count forward beginning from a given number within the known sequence (instead of having to begin at 1).,True,assessable,True
K.CC.A.3,CCSS.MATH.CONTENT.K.CC.A.3,math,K,Kindergarten,CC,Counting & Cardinality,,K.CC.A,,A3,Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).,True,assessable,True
K.CC.B.4,CCSS.MATH.CONTENT.K.CC.B.4,math,K,Kindergarten,CC,Counting & Cardinality,,K.CC.B,,B4,Understand the relationship between numbers and quantities; connect counting to cardinality.,False,broadStandard,True
K.CC.B.4.a,CCSS.MATH.CONTENT.K.CC.B.4.a,math,K,Kindergarten,CC,Counting & Cardinality,,K.CC.B,,B4a,"When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object.",True,assessable,True
K.CC.B.4.b,CCSS.MATH.CONTENT.K.CC.B.4.b,math,K,Kindergarten,CC,Counting & Cardinality,,K.CC.B,,B4b,Understand that the last number name said tells the number of objects counted. The number of objects is the same regardless of their arrangement or the order in which they were counted.,True,assessable,True
K.CC.B.4.c,CCSS.MATH.CONTENT.K.CC.B.4.c,math,K,Kindergarten,CC,Counting & Cardinality,,K.CC.B,,B4c,Understand that each successive number name refers to a quantity that is one larger.,True,assessable,True
K.CC.B.5,CCSS.MATH.CONTENT.K.CC.B.5,math,K,Kindergarten,CC,Counting & Cardinality,,K.CC.B,,B5,"Count to answer ""how many?"" questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1-20, count out that many objects.",True,assessable,True
K.CC.C.6,CCSS.MATH.CONTENT.K.CC.C.6,math,K,Kindergarten,CC,Counting & Cardinality,,K.CC.C,,C6,"Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies.1",True,assessable,True
K.CC.C.7,CCSS.MATH.CONTENT.K.CC.C.7,math,K,Kindergarten,CC,Counting & Cardinality,,K.CC.C,,C7,Compare two numbers between 1 and 10 presented as written numerals.,True,assessable,True
K.G.A.1,CCSS.MATH.CONTENT.K.G.A.1,math,K,Kindergarten,G,Geometry,,K.G.A,,A1,"Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and next to.",True,assessable,True
K.G.A.2,CCSS.MATH.CONTENT.K.G.A.2,math,K,Kindergarten,G,Geometry,,K.G.A,,A2,Correctly name shapes regardless of their orientations or overall size.,True,assessable,True
K.G.A.3,CCSS.MATH.CONTENT.K.G.A.3,math,K,Kindergarten,G,Geometry,,K.G.A,,A3,"Identify shapes as two-dimensional (lying in a plane, ""flat"") or three-dimensional (""solid"").",True,assessable,True
K.G.B.4,CCSS.MATH.CONTENT.K.G.B.4,math,K,Kindergarten,G,Geometry,,K.G.B,,B4,"Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/""corners"") and other attributes (e.g., having sides of equal length).",True,assessable,True
K.G.B.5,CCSS.MATH.CONTENT.K.G.B.5,math,K,Kindergarten,G,Geometry,,K.G.B,,B5,"Model shapes in the world by building shapes from components (e.g., sticks and clay balls) and drawing shapes.",True,assessable,True
K.G.B.6,CCSS.MATH.CONTENT.K.G.B.6,math,K,Kindergarten,G,Geometry,,K.G.B,,B6,"Compose simple shapes to form larger shapes. For example, ""Can you join these two triangles with full sides touching to make a rectangle?""",True,assessable,True
K.MD.A.1,CCSS.MATH.CONTENT.K.MD.A.1,math,K,Kindergarten,MD,Measurement & Data,,K.MD.A,,A1,"Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object.",True,assessable,True
K.MD.A.2,CCSS.MATH.CONTENT.K.MD.A.2,math,K,Kindergarten,MD,Measurement & Data,,K.MD.A,,A2,"Directly compare two objects with a measurable attribute in common, to see which object has ""more of""/""less of"" the attribute, and describe the difference. For example, directly compare the heights of two children and describe one child as taller/shorter.",True,assessable,True
K.MD.B.3,CCSS.MATH.CONTENT.K.MD.B.3,math,K,Kindergarten,MD,Measurement & Data,,K.MD.B,,B3,Classify objects into given categories; count the numbers of objects in each category and sort the categories by count.1,True,assessable,True
K.NBT.A.1,CCSS.MATH.CONTENT.K.NBT.A.1,math,K,Kindergarten,NBT,Number & Operations in Base Ten,,K.NBT.A,,A1,"Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (such as 18 = 10 + 8); understand that these numbers are composed of ten ones and one, two, three, four, five, six, seven, eight, or nine ones.",True,assessable,True
K.OA.A.1,CCSS.MATH.CONTENT.K.OA.A.1,math,K,Kindergarten,OA,Operations & Algebraic Thinking,,K.OA.A,,A1,"Represent addition and subtraction with objects, fingers, mental images, drawings1, sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations.",True,assessable,True
K.OA.A.2,CCSS.MATH.CONTENT.K.OA.A.2,math,K,Kindergarten,OA,Operations & Algebraic Thinking,,K.OA.A,,A2,"Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem.",True,assessable,True
K.OA.A.3,CCSS.MATH.CONTENT.K.OA.A.3,math,K,Kindergarten,OA,Operations & Algebraic Thinking,,K.OA.A,,A3,"Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1).",True,assessable,True
